,image,caption,contest_number,rank,from_description,image_description,image_location,image_uncanny_description,explanation,questions
0,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=709x498 at 0x12BF11960>,"Don't worry, it's cyclical.",362,bad,,,,,,
1,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=709x498 at 0x12BF11960>,Worst Groupon ever!,362,finalist,,,,,,
2,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=589x484 at 0x12BF11AB0>,I suggest you slowly back up two paces and take one step to the side.,399,finalist,,,,,,
3,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=589x484 at 0x12BF11AB0>,Nobody executes a fork on the Chaturanga kid and lives to tell about it.,399,bad,,,,,,
4,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x508 at 0x12BF11B40>,"Location, location, location.",467,bad,,,,,,
5,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x508 at 0x12BF11B40>,Is it weird that we have a pet?,467,winner,"scene: a tree description: In a tree, a mother bird is tending to her nest and babies. There is another bird in a cage on an upper branch. uncanny: The cage is out of place in a tree. entities: Birdcage, Bird_nest. caption: Is it weird that we have a pet?","In a tree, a mother bird is tending to her nest and babies. There is another bird in a cage on an upper branch.",a tree,The cage is out of place in a tree.,"The bird family has a moment of self-awareness when they realize their pet bird is weird, because it's also a bird, like them. Humans, for instance, don't have human pets, so why would birds have bird pets?",['Why is the bird caged?']
6,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=720x528 at 0x12BF11BA0>,"In my defense, I did't even finish",357,bad,,,,,,
7,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=720x528 at 0x12BF11BA0>,He makes me feel young again.,357,finalist,,,,,,
8,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=405x308 at 0x12BF11B10>,Well? The swamp closed up over two hours ago.,505,bad,,,,,,
9,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=405x308 at 0x12BF11B10>,"Yes, they're new shoes, but it's no one you know.",505,winner,"scene: the front door description: A man is in his house. He is angry at an alligator coming in through the pet door. uncanny: An alligator is coming through the pet door. entities: Alligator, Pet_door. caption: Yes, they're new shoes, but it's no one you know.",A man is in his house. He is angry at an alligator coming in through the pet door.,the front door,An alligator is coming through the pet door.,The shoes are made of alligator leather. The person is ensuring his pet alligator that he wouldn't make shoes out of him or his friends.,['Why is the man yelling at the alligator?']
10,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=750x583 at 0x12BBC99C0>,I've had other jobs too.,430,bad,,,,,,
11,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=750x583 at 0x12BBC99C0>,Any red flags?,430,finalist,,,,,,
12,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=599x444 at 0x12BBC9A80>,I lost my radar gun to budget cuts.,385,bad,,,,,,
13,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=599x444 at 0x12BBC9A80>,Let that be a lesson to you.,385,finalist,,,,,,
14,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x600 at 0x12BBCA0E0>,We hired him to appeal to perennials.,545,finalist,,,,,,
15,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=600x600 at 0x12BBCA0E0>,The day marijuana became legal in New York .,545,bad,,,,,,
16,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=476x330 at 0x12BBCA170>,We uncoupled.,497,winner,"scene: a bar description: A train is drinking a beer and sitting at a bar next to a man. The train is sad and crying. The seated man is glancing at the train. uncanny: Not only is it unusual that the train is anthropomorphic (i.e., it has a face and is seated at a bar drinking beer), but it's particularly odd that the train is so sad, and is crying/apparently drinking its troubles away at the bar. entities: Locomotive, Alcoholic_drink. caption: We uncoupled.",A train is drinking a beer and sitting at a bar next to a man. The train is sad and crying. The seated man is glancing at the train.,a bar,"Not only is it unusual that the train is anthropomorphic (i.e., it has a face and is seated at a bar drinking beer), but it's particularly odd that the train is so sad, and is crying/apparently drinking its troubles away at the bar.","A play on the word ""uncoupled"" --- for trains, uncoupling cars is to disconnect them physically. But here, ""uncoupled"" refers to a romantic breakup. The train is crying because the physical disconnection of a train car was with a train car they were in love with.",['Why is the train so upset?']
17,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=476x330 at 0x12BBCA170>,50 years ago I could.,497,bad,,,,,,
18,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=600x415 at 0x12BBCA4A0>,Where the hell is the cartoon??,598,bad,,,,,,
19,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=600x415 at 0x12BBCA4A0>,Do you seek alignment?,598,finalist,,,,,,
20,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=476x330 at 0x12BBC9E10>,She left me for an engine that could.,497,finalist,,,,,,
21,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=476x330 at 0x12BBC9E10>,They don't even make Westerns any more!,497,bad,,,,,,
22,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x605 at 0x12BBCA6E0>,It could be worse. I could insult you on Twitter.,697,bad,,,,,,
23,<PIL.JpegImagePlugin.JpegImageFile image mode=L size=800x605 at 0x12BBCA6E0>,Wait till he finds out this isn't his stop.,697,finalist,,,,,,
