subject,name,caption,rating
19,GPT-4V (complex CoT),"""Alexa, how do I start a conversation?""",0
360,GPT-4V (complex CoT),"""Is she the secret shopper or just taking ‘eating lightly’ to a new level?""",0
730,GPT-4V (complex CoT),"""Should I be concerned that my new pharmacist is more interested in running trials than running prescriptions?""",0
444,GPT-4V (complex CoT),"""Well, that's one way to fish for compliments on your suit.""",0
329,GPT-4V (complex CoT),“En garde! They’ve been practicing for 65 million years.”,0
573,GPT-4V (complex CoT),"""When you said 'state-of-the-art auditory exam,' I pictured something less... concert hall.""",0
493,GPT-4V (complex CoT),"""Budget cuts in the magic carpet industry are hitting everyone hard.""",0
462,GPT-4V (complex CoT),"""Even in the Stone Age, men refused to ask for directions on assembling IKEA furniture.""",0
551,GPT-4V (complex CoT),"""When they said, 'surf's up,' I didn't expect the surf to be so opinionated.""",0
550,GPT-4V (complex CoT),"""At this point, I'd even take a window seat.""",0
33,GPT-4V (complex CoT),"""When you said you were farming out the work, I didn't think it was so literal.""",0
270,GPT-4V (complex CoT),"""Turns out 'streamline the paperwork' wasn't meant literally.""",0
54,GPT-4V (complex CoT),"""Clearly, rock-paper-scissors hasn't been invented yet.""",0
370,GPT-4V (complex CoT),"""The bear market has been tough on all of us, but Jim took it personally.""",0
367,GPT-4V (complex CoT),"""When they said his chances were toast, I didn't think they meant it like this.""",0
201,GPT-4V (complex CoT),"""Upgraded to first-class, but the service here still stinks.""",0
524,GPT-4V (complex CoT),"""Peace treaties in the Middle Ages had a steep learning curve.""",0
311,GPT-4V (complex CoT),"""Our couples therapist really took 'addressing the big issues' to a whole new level.""",0
696,GPT-4V (complex CoT),"""Should've read the fine print on 'adventurous dining' experience.""",0
150,GPT-4V (complex CoT),"""We decided on a more 'interactive' approach to book club last week.""",0
136,GPT-4V (complex CoT),"""Our new efficiency expert likes to strip things down to the bare bones.""",0
210,GPT-4V (complex CoT),"""Looks like the head of security is hands-on today.""",0
405,GPT-4V (complex CoT),"""In hindsight, 'supersize me' might have been a tad ambitious at the butcher's.""",0
